date,paid_social_spend,search_spend,display_spend,audio_spend,conversions
2024-01-01,500,700,300,200,120
2024-01-02,600,650,320,210,130
2024-01-03,550,720,310,220,128
2024-01-04,700,800,330,250,150
2024-01-05,650,780,340,260,145
2024-01-06,400,600,200,150,100
2024-01-07,300,500,180,120,90
2024-01-08,750,820,350,270,155
2024-01-09,800,850,370,290,165
2024-01-10,820,870,360,300,170
2024-01-11,780,840,355,280,160
2024-01-12,760,830,345,275,158
2024-01-13,500,700,300,200,125
2024-01-14,450,650,250,180,110
2024-01-15,900,900,400,320,180
